model,model_label,question,history,condition,condition_label,mean_nae,n
deepseek-v4-flash-ga-260731,DeepSeek,4.13,10,nm,NM,0.5166666666666667,15
deepseek-v4-flash-ga-260731,DeepSeek,4.13,10,crm,CRM,0.5066666666666666,15
deepseek-v4-flash-ga-260731,DeepSeek,4.13,10,arm,ARM,0.53,15
deepseek-v4-flash-ga-260731,DeepSeek,4.13,20,nm,NM,0.535,15
deepseek-v4-flash-ga-260731,DeepSeek,4.13,20,crm,CRM,0.5599999999999999,15
deepseek-v4-flash-ga-260731,DeepSeek,4.13,20,arm,ARM,0.5666666666666667,15
deepseek-v4-flash-ga-260731,DeepSeek,5.7,10,nm,NM,0.05333333333333334,15
deepseek-v4-flash-ga-260731,DeepSeek,5.7,10,crm,CRM,0.06666666666666667,15
deepseek-v4-flash-ga-260731,DeepSeek,5.7,10,arm,ARM,0.08,15
deepseek-v4-flash-ga-260731,DeepSeek,5.7,20,nm,NM,0.06000000000000001,15
deepseek-v4-flash-ga-260731,DeepSeek,5.7,20,crm,CRM,0.09333333333333332,15
deepseek-v4-flash-ga-260731,DeepSeek,5.7,20,arm,ARM,0.07666666666666667,15
doubao-seed-2.0-lite,Doubao,4.13,10,nm,NM,0.3433333333333334,15
doubao-seed-2.0-lite,Doubao,4.13,10,crm,CRM,0.5033333333333333,15
doubao-seed-2.0-lite,Doubao,4.13,10,arm,ARM,0.4466666666666666,15
doubao-seed-2.0-lite,Doubao,4.13,20,nm,NM,0.37,15
doubao-seed-2.0-lite,Doubao,4.13,20,crm,CRM,0.5133333333333333,15
doubao-seed-2.0-lite,Doubao,4.13,20,arm,ARM,0.4516666666666666,15
doubao-seed-2.0-lite,Doubao,5.7,10,nm,NM,0.1,15
doubao-seed-2.0-lite,Doubao,5.7,10,crm,CRM,0.06666666666666667,15
doubao-seed-2.0-lite,Doubao,5.7,10,arm,ARM,0.08666666666666668,15
doubao-seed-2.0-lite,Doubao,5.7,20,nm,NM,0.08333333333333333,15
doubao-seed-2.0-lite,Doubao,5.7,20,crm,CRM,0.05999999999999999,15
doubao-seed-2.0-lite,Doubao,5.7,20,arm,ARM,0.08,15
